GWAP,LWAP,FLOW_VIS,RESERVE_GWAP_Fr,RESERVE_GWAP_Ru,RESERVE_GWAP_Rd,RESERVE_GWAP_Dr,Hourly Demand,RAINFALL_Catbalogan,TMAX_Catbalogan,TMIN_Catbalogan,RAINFALL_Roxas City,TMAX_Roxas City,TMIN_Roxas City,RAINFALL_Catarman,TMAX_Catarman,TMIN_Catarman,RAINFALL_Maasin,TMAX_Maasin,TMIN_Maasin,RAINFALL_Dumaguete,TMAX_Dumaguete,TMIN_Dumaguete
4893.973464300263,5232.264524,9071.3,2164.765079896973,1818.6783567751268,6.383347788378143e-05,58.739482232966495,40979.0,15.8,33.4,25.0,2.5,29.5,26.2,33.8,30.9,24.4,13.4,30.0,24.0,0.0,31.6,26.9
4867.989272,5152.693493,5037.95,1597.6653111111114,9766.793000395128,0.0011634032634032,1.5807241174513371,40653.0,2.7,30.6,24.6,9.5,29.0,24.3,29.7,29.2,23.2,47.0,25.0,22.5,5.1,29.1,25.1
5597.88418,5907.669623,1770.04,2384.391719565355,10934.586842880834,121.22239532433711,74.9434342206693,39761.0,24.2,32.5,24.0,-1.0,30.0,25.2,53.8,31.0,24.3,6.2,27.0,23.5,3.0,28.5,25.1
4641.219295,4897.254772,28990.18,944.29455625,6667.471866371681,5.4997053121650605,9.645105910912768,39866.0,25.5,29.0,23.8,7.0,29.6,25.6,34.0,27.1,23.2,20.2,27.0,22.0,41.8,29.1,25.0
4463.587229832264,4648.131578,45260.79,119.3045670138889,9259.263782919104,4.109273131239347,0.0008015040757825,38512.0,31.4,27.8,23.2,0.0,29.5,26.0,11.9,28.3,22.8,10.0,26.0,23.0,36.8,28.9,24.5
4034.944888967774,4200.541286,68311.22,28.429835416666663,13390.021145393452,120.37408666666668,0.0007747110507863,35163.0,113.7,26.0,22.5,15.0,28.8,24.2,86.8,28.7,23.0,148.8,25.0,22.0,1.1,30.1,25.0
4625.417832161835,4945.380289,90055.85,398.94522361111103,11841.539537823175,218.29015573638043,0.0005920962004134,32432.0,10.5,28.2,24.6,59.0,27.0,23.8,87.3,26.9,23.6,108.4,24.8,22.0,1.0,29.6,25.0
3946.1025780015016,4284.735999,78701.35,8.387386458333333,8286.870159745155,32.99535818382735,0.0004691202445,32227.0,20.5,32.0,25.0,172.0,27.0,23.6,13.4,28.1,23.3,18.6,26.6,23.6,2.8,32.0,25.2
4603.147900778438,4742.72037,84673.42,42.159371875,10506.508703226003,324.8146187530683,0.0003913243844835,32232.0,51.8,28.4,24.2,50.0,26.4,22.5,5.7,29.6,23.4,29.6,25.0,22.0,4.7,29.1,24.2
5358.765915534878,5594.186886,90597.32,979.607962644177,8912.773248082778,0.0109566749585406,8.38827260451924e-05,33346.0,0.0,29.5,25.6,1.0,28.4,23.8,0.0,30.2,23.2,0.0,26.2,24.0,0.2,30.5,25.9
5819.473126652736,6046.994145,95356.68,613.5266052832244,9458.267784160458,270.0830008971292,0.0002202591621064,31467.0,1.8,31.5,24.2,0.0,29.5,23.4,7.6,31.1,23.6,0.0,29.0,23.8,4.8,30.6,23.3
4821.667841980117,5040.968074,108373.42,209.51713506944444,7898.640394081518,277.02066192071464,0.0001950226314465,30182.0,2.4,31.5,24.0,0.0,31.1,24.4,0.0,30.4,23.9,0.0,30.0,24.0,0.0,31.7,25.1
6533.789027335557,7128.428514,106795.72,2507.101785416666,6138.365585589812,234.52292260202563,39.30397287504147,33664.0,1.0,33.0,25.1,7.0,32.0,25.2,0.0,31.3,23.5,-1.0,30.0,25.4,0.8,31.0,26.1
6022.957169114846,6551.90093,100977.68,1864.474027083333,3485.0969240364816,0.0003450954087306,18.099246756152056,34385.0,15.0,32.0,23.5,0.0,32.0,26.2,0.0,31.9,23.4,1.2,29.0,25.2,-1.0,31.2,26.4
11895.949356362162,12927.73757,64793.29,6873.579756944445,2978.501304354287,3.0303030303030296e-05,550.8157734847359,40050.0,-1.0,34.2,24.0,0.0,31.2,25.2,-1.0,31.7,23.3,0.0,29.4,24.6,0.1,31.5,26.0
